held_out_source,method,campaigns,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,A,10,0.15593247579328717,0.424293687195206,0.09762056287462281,0.177619414188304
attack_flow,A,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
stockpile,A,27,0.12414219496229105,0.313213792380459,0.06437436020769355,0.18189950481617145
ctid,A0,10,0.17546453514295907,0.4652855199525588,0.11903473411384757,0.2207329694894054
attack_flow,A0,35,0.1897287974084965,0.45595420452563307,0.10783771783771784,0.21768567411424553
stockpile,A0,27,0.06442747172129776,0.2047119547119547,0.040942390942390945,0.11352073852073852
ctid,B0,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
attack_flow,B0,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
stockpile,B0,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
ctid,HM,10,0.1202055792458718,0.37095457973700385,0.08448115842659838,0.1536672704243707
attack_flow,HM,35,0.14698600214509988,0.40098491191348334,0.08353596403596404,0.16677729942015657
stockpile,HM,27,0.10628888948756796,0.2977696686030019,0.060047760881094224,0.15746786649564426
ctid,HM+B0,10,0.19433290629145022,0.4560771405511477,0.12566369787254486,0.22140416943968927
attack_flow,HM+B0,35,0.23928467199173134,0.5233207665350523,0.13340794285080002,0.2638629782915497
stockpile,HM+B0,27,0.15577542684252269,0.2898798732132066,0.07009394926061593,0.19973670876448654
ctid,K,10,0.14503460054022868,0.37172898543063526,0.08663424201799858,0.15243823436654413
attack_flow,K,35,0.16368443855775305,0.4201891759034616,0.09291751106036822,0.18994640280354563
stockpile,K,27,0.22442400875085233,0.4784374576041243,0.10062576312576314,0.3174861404028071
ctid,LSTM,10,0.19913800136373003,0.4843585551045413,0.12271819978390253,0.22659152907795135
attack_flow,LSTM,35,0.12550964528297484,0.3202227217227217,0.0704420547706262,0.14548626770055342
stockpile,LSTM,27,0.06297146256120459,0.19424819008152341,0.04020766270766271,0.11214888506555172
ctid,MB,10,0.09999839843376569,0.3038147268321846,0.06521239326153698,0.11908451081079245
attack_flow,MB,35,0.11914325228778877,0.34394304108589824,0.07228860821717965,0.1411786890358319
stockpile,MB,27,0.19390134632837341,0.4154001862335196,0.09419114835781503,0.28446206571206567
