held_out_source,method,campaign_id,rows,ndcg5,hit5,precision5,recall5
attack_flow,HM+R,Black Basta Ransomware,24,0.18731006224510882,0.5083333333333333,0.11666666666666668,0.2125
attack_flow,HM+R,CISA AA22-138B VMWare Workspace (Alt),8,0.1722448042370287,0.5,0.11000000000000001,0.2
attack_flow,HM+R,CISA AA22-138B VMWare Workspace (TA1),8,0.23911932786761797,0.525,0.135,0.24166666666666667
attack_flow,HM+R,CISA AA22-138B VMWare Workspace (TA2),10,0.4668660589932405,1.0,0.2,0.45
attack_flow,HM+R,CISA Iranian APT,21,0.21844254294612506,0.6285714285714286,0.13523809523809524,0.2698412698412698
attack_flow,HM+R,Cobalt Kitty Campaign,11,0.2305785293444256,0.6,0.13818181818181818,0.3090909090909091
attack_flow,HM+R,Conti CISA Alert,5,0.0938557452045513,0.2,0.04,0.06666666666666667
attack_flow,HM+R,Conti PWC,3,0.1564262420075855,0.3333333333333333,0.06666666666666667,0.1111111111111111
attack_flow,HM+R,Conti Ransomware,14,0.18750659829122654,0.5,0.1,0.2095238095238095
attack_flow,HM+R,DFIR - BumbleBee Round 2,12,0.17601898949945993,0.43333333333333335,0.08666666666666667,0.15833333333333333
attack_flow,HM+R,Equifax Breach,8,0.13949653484953198,0.35,0.07,0.20416666666666666
attack_flow,HM+R,FIN13 Case 1,28,0.1089593954152616,0.36428571428571427,0.07857142857142858,0.1369047619047619
attack_flow,HM+R,FIN13 Case 2,13,0.05394948162913907,0.23076923076923078,0.04615384615384615,0.08717948717948718
attack_flow,HM+R,Gootloader,28,0.15174460861811373,0.42857142857142855,0.08571428571428573,0.20595238095238094
attack_flow,HM+R,Hancitor DLL,18,0.23032916261614705,0.6666666666666666,0.13333333333333336,0.23148148148148145
attack_flow,HM+R,Ivanti Vulnerabilities,5,0.20351940179770273,0.48,0.096,0.18666666666666668
attack_flow,HM+R,JP Morgan Breach,8,0.018461588702779582,0.07500000000000001,0.015,0.037500000000000006
attack_flow,HM+R,MITRE NERVE,7,0.11240754389064879,0.2857142857142857,0.05714285714285715,0.11904761904761904
attack_flow,HM+R,Maastricht University Ransomware,10,0.25644224326235665,0.7,0.14,0.26666666666666666
attack_flow,HM+R,Mac Malware Steals Crypto,3,0.10043561566312494,0.39999999999999997,0.08,0.13333333333333333
attack_flow,HM+R,Marriott Breach,4,0.13381598297850872,0.45,0.09,0.23333333333333334
attack_flow,HM+R,Muddy Water,8,0.3215938910235169,0.75,0.15000000000000002,0.3541666666666667
attack_flow,HM+R,NotPetya,13,0.10210091441387482,0.38461538461538464,0.07692307692307693,0.13846153846153847
attack_flow,HM+R,OceanLotus,20,0.2574061039438038,0.5700000000000001,0.138,0.28833333333333333
attack_flow,HM+R,REvil,18,0.004491274366678835,0.022222222222222223,0.0044444444444444444,0.007407407407407408
attack_flow,HM+R,Ragnar Locker,12,0.05449580273331822,0.18333333333333335,0.03666666666666667,0.07222222222222223
attack_flow,HM+R,SWIFT Heist,4,0.10593347572689837,0.5,0.1,0.16666666666666666
attack_flow,HM+R,SearchAwesome Adware,10,0.21938314987845384,0.58,0.11600000000000002,0.23666666666666666
attack_flow,HM+R,Shamoon,18,0.147144127190734,0.4555555555555555,0.09555555555555556,0.15925925925925927
attack_flow,HM+R,SolarWinds,16,0.08036863953599642,0.3,0.060000000000000005,0.09999999999999999
attack_flow,HM+R,Sony Malware,12,0.08707684235918202,0.2833333333333333,0.05666666666666667,0.09444444444444444
attack_flow,HM+R,Target Breach,8,0.0,0.0,0.0,0.0
attack_flow,HM+R,Tesla Kubernetes Breach,3,0.0,0.0,0.0,0.0
attack_flow,HM+R,Uber Breach,6,0.006736911550018252,0.03333333333333333,0.006666666666666667,0.011111111111111112
attack_flow,HM+R,WhisperGate,16,0.11984848229633582,0.3125,0.0625,0.1375
ctid,HM+R,apt29::unknown,63,0.10537935965243807,0.3365079365079365,0.07047619047619048,0.11746031746031745
ctid,HM+R,carbanak::unknown,19,0.09890828647961318,0.29473684210526313,0.05894736842105264,0.13333333333333333
ctid,HM+R,fin6::unknown,16,0.18390123808439057,0.625,0.1275,0.23333333333333334
ctid,HM+R,fin7::unknown,8,0.022692724067169084,0.125,0.025,0.041666666666666664
ctid,HM+R,menu_pass::unknown,10,0.07530721273977244,0.2,0.04,0.06666666666666667
ctid,HM+R,oilrig::unknown,35,0.13679982608298522,0.41714285714285715,0.10285714285714286,0.19523809523809524
ctid,HM+R,sandworm::unknown,31,0.14028690648689568,0.45806451612903226,0.0967741935483871,0.17096774193548386
ctid,HM+R,turla_carbon::unknown,23,0.19880647634679555,0.4434782608695652,0.1373913043478261,0.24202898550724636
ctid,HM+R,turla_snake::unknown,26,0.13007812636143892,0.4846153846153846,0.10461538461538462,0.18076923076923077
ctid,HM+R,wizard_spider::unknown,32,0.10989563615721935,0.325,0.08125,0.15520833333333334
stockpile,HM+R,01c96671-afd3-47d4-8d31-8c116cc0221a,2,0.0,0.0,0.0,0.0
stockpile,HM+R,01d77744-2515-401a-a497-d9f7241aac3c,6,0.0,0.0,0.0,0.0
stockpile,HM+R,09ad625e-6cba-490f-afe3-5417e7edb9c6,2,0.0,0.0,0.0,0.0
stockpile,HM+R,0b5636cf-f019-4ec9-aa7c-6e4f55505374,4,0.1815795290926499,0.75,0.15000000000000002,0.29166666666666663
stockpile,HM+R,0b73bf34-fc5b-48f7-9194-dce993b915b1,2,0.0,0.0,0.0,0.0
stockpile,HM+R,0f4c3c67-845e-49a0-927e-90ed33c044e0,11,0.0,0.0,0.0,0.0
stockpile,HM+R,1a98b8e6-18ce-4617-8cc5-e65a1a9d490e,4,0.0,0.0,0.0,0.0
stockpile,HM+R,1bac97ca-77fc-4c9a-835e-4de1b1b7f639,2,0.0,0.0,0.0,0.0
