held_out_source,method,sample_id,campaign_id,prefix_len,target_size,transition_visibility,target_label_visibility,text_length_group,ndcg5,hit5,precision5,recall5
attack_flow,B0,attack_flow::Black Basta Ransomware::0001,Black Basta Ransomware,1,3,mixed,all_seen,ge40,0.7653606369886217,1.0,0.4,0.6666666666666666
attack_flow,B0,attack_flow::Black Basta Ransomware::0002,Black Basta Ransomware,2,2,all_unseen,all_seen,ge40,1.0,1.0,0.4,1.0
attack_flow,B0,attack_flow::Black Basta Ransomware::0003,Black Basta Ransomware,3,2,all_seen,all_seen,ge40,0.38685280723454163,1.0,0.2,0.5
attack_flow,B0,attack_flow::Black Basta Ransomware::0004,Black Basta Ransomware,4,3,mixed,all_seen,ge40,0.2960819109658652,1.0,0.2,0.3333333333333333
attack_flow,B0,attack_flow::Black Basta Ransomware::0005,Black Basta Ransomware,5,3,mixed,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,B0,attack_flow::Black Basta Ransomware::0006,Black Basta Ransomware,6,3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,B0,attack_flow::Black Basta Ransomware::0007,Black Basta Ransomware,7,3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,B0,attack_flow::Black Basta Ransomware::0008,Black Basta Ransomware,8,3,all_unseen,all_unseen,ge40,0.0,0.0,0.0,0.0
attack_flow,B0,attack_flow::Black Basta Ransomware::0009,Black Basta Ransomware,9,3,all_unseen,mixed,ge40,0.18154179253735267,1.0,0.2,0.3333333333333333
attack_flow,B0,attack_flow::Black Basta Ransomware::0010,Black Basta Ransomware,10,3,all_unseen,mixed,ge40,0.20210734650054757,1.0,0.2,0.3333333333333333
attack_flow,B0,attack_flow::Black Basta Ransomware::0011,Black Basta Ransomware,11,3,all_unseen,all_seen,ge40,0.6713860725233041,1.0,0.4,0.6666666666666666
attack_flow,B0,attack_flow::Black Basta Ransomware::0012,Black Basta Ransomware,12,3,all_seen,all_seen,ge40,0.2960819109658652,1.0,0.2,0.3333333333333333
attack_flow,B0,attack_flow::Black Basta Ransomware::0013,Black Basta Ransomware,13,3,all_unseen,all_seen,lt40,0.46927872602275644,1.0,0.2,0.3333333333333333
attack_flow,B0,attack_flow::Black Basta Ransomware::0014,Black Basta Ransomware,14,3,mixed,all_seen,lt40,0.0,0.0,0.0,0.0
