status,contrast,left_method,right_method,scope,ndcg5,hit5,precision5,recall5
development_descriptive_only,EA_TOP5_minus_B0,EA_TOP5,B0,ctid,0.006144254795448681,0.0,0.0,0.0
development_descriptive_only,EA_TOP5_minus_B0,EA_TOP5,B0,attack_flow,0.017588225513597622,0.0,0.0,0.0
development_descriptive_only,EA_TOP5_minus_B0,EA_TOP5,B0,stockpile,0.007870214493543276,0.0,0.0,0.0
development_descriptive_only,EA_TOP5_minus_B0,EA_TOP5,B0,source_equal,0.010534231600863198,0.0,0.0,0.0
development_descriptive_only,UNION_LLM_minus_B0,UNION_LLM,B0,ctid,0.0,0.0,0.0,0.0
development_descriptive_only,UNION_LLM_minus_B0,UNION_LLM,B0,attack_flow,-0.017319681505689133,0.0,0.0,0.0
development_descriptive_only,UNION_LLM_minus_B0,UNION_LLM,B0,stockpile,-0.04200320197226798,0.0,0.0,0.0
development_descriptive_only,UNION_LLM_minus_B0,UNION_LLM,B0,source_equal,-0.01977429449265236,0.0,0.0,0.0
development_descriptive_only,EDLR_minus_B0,EDLR,B0,ctid,0.0,0.0,0.0,0.0
development_descriptive_only,EDLR_minus_B0,EDLR,B0,attack_flow,-0.1261509772814673,-0.19999999999999996,-0.06,-0.1
development_descriptive_only,EDLR_minus_B0,EDLR,B0,stockpile,-0.07878097517351917,-0.2,-0.039999999999999994,-0.08333333333333334
development_descriptive_only,EDLR_minus_B0,EDLR,B0,source_equal,-0.06831065081832882,-0.13333333333333336,-0.033333333333333326,-0.061111111111111116
development_descriptive_only,EDLR_minus_UNION_LLM,EDLR,UNION_LLM,ctid,0.0,0.0,0.0,0.0
development_descriptive_only,EDLR_minus_UNION_LLM,EDLR,UNION_LLM,attack_flow,-0.10883129577577816,-0.19999999999999996,-0.06,-0.1
development_descriptive_only,EDLR_minus_UNION_LLM,EDLR,UNION_LLM,stockpile,-0.036777773201251196,-0.2,-0.039999999999999994,-0.08333333333333334
development_descriptive_only,EDLR_minus_UNION_LLM,EDLR,UNION_LLM,source_equal,-0.04853635632567646,-0.13333333333333336,-0.033333333333333326,-0.061111111111111116
development_descriptive_only,EDLR_minus_EDLR_SHUFFLE,EDLR,EDLR_SHUFFLE,ctid,-0.006144254795448681,0.0,0.0,0.0
development_descriptive_only,EDLR_minus_EDLR_SHUFFLE,EDLR,EDLR_SHUFFLE,attack_flow,-0.03899539948780001,-0.19999999999999996,-0.04000000000000001,-0.06666666666666668
development_descriptive_only,EDLR_minus_EDLR_SHUFFLE,EDLR,EDLR_SHUFFLE,stockpile,-0.07533647039051661,-0.10000000000000003,-0.01999999999999999,-0.033333333333333326
development_descriptive_only,EDLR_minus_EDLR_SHUFFLE,EDLR,EDLR_SHUFFLE,source_equal,-0.04015870822458842,-0.09999999999999998,-0.01999999999999999,-0.033333333333333326
