status,source,campaign_id,method,rows,ndcg5,hit5,precision5,recall5
development_descriptive_only,attack_flow,Conti Ransomware,B0,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Conti Ransomware,EA_TOP5,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Conti Ransomware,EDLR,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Conti Ransomware,EDLR_SHUFFLE,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Conti Ransomware,UNION_LLM,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,FIN13 Case 2,B0,1,0.6713860725233041,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,FIN13 Case 2,EA_TOP5,1,0.49818925746641285,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,FIN13 Case 2,EDLR,1,0.6713860725233041,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,FIN13 Case 2,EDLR_SHUFFLE,1,0.6713860725233041,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,FIN13 Case 2,UNION_LLM,1,0.49818925746641285,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,Gootloader,B0,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Gootloader,EA_TOP5,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Gootloader,EDLR,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Gootloader,EDLR_SHUFFLE,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Gootloader,UNION_LLM,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Hancitor DLL,B0,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Hancitor DLL,EA_TOP5,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Hancitor DLL,EDLR,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Hancitor DLL,EDLR_SHUFFLE,1,0.18154179253735267,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Hancitor DLL,UNION_LLM,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,JP Morgan Breach,B0,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,JP Morgan Breach,EA_TOP5,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,JP Morgan Breach,EDLR,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,JP Morgan Breach,EDLR_SHUFFLE,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,JP Morgan Breach,UNION_LLM,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,Maastricht University Ransomware,B0,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Maastricht University Ransomware,EA_TOP5,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Maastricht University Ransomware,EDLR,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Maastricht University Ransomware,EDLR_SHUFFLE,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Maastricht University Ransomware,UNION_LLM,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Mac Malware Steals Crypto,B0,1,0.2640681225725909,1.0,0.2,0.5
development_descriptive_only,attack_flow,Mac Malware Steals Crypto,EA_TOP5,1,0.6131471927654584,1.0,0.2,0.5
development_descriptive_only,attack_flow,Mac Malware Steals Crypto,EDLR,1,0.23719771276929622,1.0,0.2,0.5
development_descriptive_only,attack_flow,Mac Malware Steals Crypto,EDLR_SHUFFLE,1,0.2640681225725909,1.0,0.2,0.5
development_descriptive_only,attack_flow,Mac Malware Steals Crypto,UNION_LLM,1,0.2640681225725909,1.0,0.2,0.5
development_descriptive_only,attack_flow,Muddy Water,B0,1,0.7653606369886217,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,Muddy Water,EA_TOP5,1,0.7653606369886217,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,Muddy Water,EDLR,1,0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Muddy Water,EDLR_SHUFFLE,1,0.18154179253735267,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow,Muddy Water,UNION_LLM,1,0.7653606369886217,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow,SolarWinds,B0,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,SolarWinds,EA_TOP5,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,SolarWinds,EDLR,1,0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow,SolarWinds,EDLR_SHUFFLE,1,0.0,0.0,0.0,0.0
