held_out_source,inner_training_source,inner_validation_source,seed,learning_rate,epoch,beta,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,stockpile,ctid,42,0.001,100,0.0,0.10409410139993673,0.11691916562594415,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.1,0.10635623395458485,0.12411655819892657,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.2,0.10632013574118082,0.12909526090771803,1,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.3,0.10010363437735573,0.1207630975255595,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.4,0.10368192593718391,0.121752542041427,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.5,0.10725017159576464,0.12242942042556004,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.6,0.105340764451241,0.12245619378032377,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.7,0.10710800478862044,0.12258414840948229,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.8,0.10957806233333334,0.12214094986290389,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,0.9,0.10998830029621998,0.12240880814341801,0,109,263
attack_flow,stockpile,ctid,42,0.001,100,1.0,0.1137214004852184,0.12233368220838284,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.0,0.10409410139993673,0.11691916562594415,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.1,0.1015357824556405,0.12411655819892657,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.2,0.10124688596287826,0.12909526090771803,1,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.3,0.1011060276773567,0.1207630975255595,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.4,0.09706856491994587,0.121752542041427,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.5,0.09867352989711747,0.12242942042556004,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.6,0.09896008188603914,0.12245619378032377,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.7,0.10080376248260259,0.12258414840948229,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.8,0.10364933326655741,0.12214094986290389,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,0.9,0.10744710806671802,0.12240880814341801,0,109,263
attack_flow,stockpile,ctid,43,0.001,100,1.0,0.10731760841660028,0.12233368220838284,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.0,0.10409410139993673,0.11691916562594415,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.1,0.10322171961343958,0.12411655819892657,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.2,0.10821325635934269,0.12909526090771803,1,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.3,0.10634893971614925,0.1207630975255595,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.4,0.10690657209063803,0.121752542041427,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.5,0.10252731305407725,0.12242942042556004,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.6,0.10525584710456604,0.12245619378032377,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.7,0.10652248881347233,0.12258414840948229,0,109,263
attack_flow,stockpile,ctid,44,0.001,100,0.8,0.10359169536643362,0.12214094986290389,0,109,263
