org_name,plan_id,scenario_id,step_id,step_order,step_title,step_text,attack_technique_ids_raw,attack_technique_ids_parent,source_file,mapping_method,mapping_quality
oilrig,oilrig,unknown,oilrig::1,1,OilRig Execute VBS payload to collect hostname,"id: ed2471a9-1eeb-4787-a5d8-61f66b278a50 | name: OilRig Execute VBS payload to collect hostname | description: Executes the payload to collect the hostname of the victim machine. 
 | tactic: discovery | technique: attack_id: T1082 | name: System Information Discovery | procedure_group: procedure_discovery | procedure_step: 1.A.4 | platforms: windows: cmd: command: cscript /nologo computername.vbs
 | payloads: computername.vbs","[""T1082""]","[""T1082""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::2,2,System Information Discovery,attack_id: T1082 | name: System Information Discovery,"[""T1082""]","[""T1082""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::3,3,OilRig Execute VBS payload to collect username,"id: 88378065-bedf-46b9-a8b7-bc5897f4abcb | name: OilRig Execute VBS payload to collect username | description: Executes the payload to collect the username of the victim machine. 
 | tactic: discovery | technique: attack_id: T1033 | name: System Owner/User Discovery | procedure_group: procedure_discovery | procedure_step: 1.A.5 | platforms: windows: cmd: command: cscript /nologo username.vbs
 | payloads: username.vbs","[""T1033""]","[""T1033""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::4,4,System Owner/User Discovery,attack_id: T1033 | name: System Owner/User Discovery,"[""T1033""]","[""T1033""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::5,5,OilRig Current User,id: 0386ef16-757e-425c-8355-88e5be40eb32 | name: OilRig Current User | description: Obtain user from current session | tactic: discovery | technique: attack_id: T1033 | name: System Owner/User Discovery | procedure_group: procedure_discovery | procedure_step: 2.A.2 | platforms: windows: cmd: command: whoami,"[""T1033""]","[""T1033""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::6,6,System Owner/User Discovery,attack_id: T1033 | name: System Owner/User Discovery,"[""T1033""]","[""T1033""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::7,7,OilRig Collect hostname,id: a9861ea9-4f9a-46c9-ba60-15a02806dfdc | name: OilRig Collect hostname | description: Find the hostname | tactic: Discovery | technique: attack_id: T1082 | name: System Information Discovery | procedure_group: procedure_discovery | procedure_step: 2.A.3 | platforms: windows: cmd: command: hostname,"[""T1082""]","[""T1082""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::8,8,System Information Discovery,attack_id: T1082 | name: System Information Discovery,"[""T1082""]","[""T1082""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::9,9,OilRig Network Interface Configuration,id: 628e8ad3-14af-4670-b797-bcf175a42842 | name: OilRig Network Interface Configuration | description: View network configuration information for host | tactic: Discovery | technique: attack_id: T1016 | name: System Network Configuration Discovery | procedure_group: procedure_discovery | procedure_step: 2.A.4 | platforms: windows: cmd: command: ipconfig /all,"[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
oilrig,oilrig,unknown,oilrig::10,10,System Network Configuration Discovery,attack_id: T1016 | name: System Network Configuration Discovery,"[""T1016""]","[""T1016""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\oilrig\Emulation_Plan\yaml\oilrig.yaml,yaml_regex_extract,high
